#Data from NFHS
#1 Comprehensive knowledge of HIV
#2 Condom usage can reduce chance of HIV
State_Name	Gender	Urban	Rural	Total	2025-16	Question
Nagaland	M	30.7	45.6	NA	24.1	1
Nagaland	F	62.9	60.5	NA	39.9	2
Nagaland	M	56.1	75.8	NA	63.6	2
Mizoram	F	70.8	56	NA	66.2	1
Mizoram	M	66.6	64.3	NA	68.3	1
Mizoram	F	95.7	86	NA	91.2	2
Mizoram	M	98.6	90.5	NA	94	2
Manipur	F	54.8	47.5	NA	40.7	1
Manipur	M	61.6	51.6	NA	57.9	1
Manipur	F	91.3	85.2	NA	79	2
Manipur	M	94.1	94.4	NA	87.3	2
Meghalaya	F	23.8	11.8	NA	13.3	1
Meghalaya	M	32.5	11.9	NA	14.2	1
Meghalaya	F	60.6	52.2	NA	47	2
Meghalaya	M	70.6	60.8	NA	52.1	2
Maharashtra	F	39.2	30.1	NA	30	1
Maharashtra	M	50.7	35.1	NA	44.5	1
Maharashtra	F	76.3	68.5	NA	67.9	2
Maharashtra	M	89.6	79.8	NA	86.4	2
Ladakh	F	15.6	26.4	NA	26.4	1
Ladakh	M	54.4	23.7	NA	12.1	1
Ladakh	F	80.1	72.4	NA	68.8	2
Ladakh	M	87.8	78.7	NA	80.4	2
Lakshadweep	F	50.2	34.8	NA	22	1
Lakshadweep	M	60.6	79.6	NA	31.2	1
Lakshadweep	F	75.7	72	NA	46.7	2
Lakshadweep	M	96.6	94.3	NA	55.7	2
Kerala	F	35.5	34.2	NA	43.1	1
Kerala	M	44.2	46.4	NA	45.4	1
Kerala	F	73.5	74.7	NA	74.2	2
Kerala	M	82.2	86.5	NA	84.8	2
Karnataka	F	30	20.8	NA	9.5	1
Karnataka	M	28	25.6	NA	26.4	1
Karnataka	F	84.2	76.1	NA	50	2
Karnataka	M	88.6	87.3	NA	65.9	2
Jammu & Kashmir	F	17.4	15.2	NA	18.9	1
Jammu & Kashmir	M	27.3	36	NA	24.6	1
Jammu & Kashmir	F	72	62.7	NA	68.5	2
Jammu & Kashmir	M	65.5	78.1	NA	83.7	2
Himachal Pradesh	F	46.1	34.7	NA	30.9	1
Himachal Pradesh	M	46.9	39.8	NA	44.5	1
Himachal Pradesh	F	92.7	74.1	NA	68.6	2
Himachal Pradesh	M	90.4	84.6	NA	89	2
Gujarat	F	36.3	22.8	NA	18.4	1
Gujarat	M	40.7	31.9	NA	31.5	1
Gujarat	F	79.1	57.6	NA	43.2	2
Gujarat	M	89.1	77.5	NA	68.6	2
Goa	F	47.7	50.6	NA	34.6	1
Goa	M	62.8	74.6	NA	41.9	1
Goa	F	89.4	90.8	NA	77.4	2
Goa	M	98	97.5	NA	89.2	2
DNH & DD	F	31.4	19	NA	16.4	1
DNH & DD	M	35.2	21.5	NA	11.3	1
DNH & DD	F	75.8	51.7	NA	45.6	2
DNH & DD	M	81.3	77.1	NA	47.1	2
Bihar	F	13.5	9.7	NA	10.1	1
Bihar	M	33.1	23	NA	26.3	1
Bihar	F	66.6	55.6	NA	57.4	2
Bihar	M	82.7	79.8	NA	67.1	2
Assam	F	24.1	18.3	NA	9.4	1
Assam	M	29	24.6	NA	22.5	1
Assam	F	76.3	70.6	NA	44.6	2
Assam	M	86.9	84.9	NA	70.6	2
Andhra Pradesh	F	29.1	22.6	NA	29	1
Andhra Pradesh	M	47.1	34.7	NA	55.5	1
Andhra Pradesh	F	70.8	59.7	NA	57.5	2
Andhra Pradesh	M	88.4	80	NA	83.4	2
Andaman & Nicobar Islands	F	10.1	18.4	NA	29.3	1
Andaman & Nicobar Islands	M	36.8	33.4	NA	44	1
Andaman & Nicobar Islands	F	81.4	72.5	NA	59.5	2
Andaman & Nicobar Islands	M	67.5	62.2	NA	75.3	2
